,y_test,xgb_y_pred
0,22.8,21.51975440979004
1,16.88,14.207056045532227
2,22.0,22.138641357421875
3,16.8,24.183786392211914
4,15.2,9.266729354858398
5,13.0,13.255386352539062
6,12.6,11.215770721435547
7,10.0,9.855328559875488
8,12.6,13.301548957824707
9,20.68,20.36101722717285
10,2.6,3.54475474357605
11,1.68,3.277833938598633
12,18.0,18.999446868896484
13,10.0,9.963506698608398
14,8.99,14.035238265991211
15,36.0,36.24095916748047
16,34.38,34.338016510009766
17,1.9,1.9117048978805542
18,16.0,15.918438911437988
19,5.3,5.482433319091797
20,22.0,21.91876220703125
21,19.0,18.941112518310547
22,13.9,12.785518646240234
23,4.3,5.258797645568848
24,10.5,11.128181457519531
25,26.88,27.61488151550293
26,16.0,16.020671844482422
27,19.8,16.36919403076172
28,22.0,19.504404067993164
29,14.8,14.89006233215332
30,12.8,12.429082870483398
31,18.0,16.253644943237305
32,5.2,6.861433506011963
33,18.3,20.014902114868164
34,5.88,6.074043273925781
35,37.8,36.09353256225586
36,5.8,7.895671844482422
37,9.98,6.981719970703125
38,3.5,3.351107120513916
39,20.0,21.313812255859375
40,3.45,5.116410255432129
41,13.0,13.02204704284668
42,1.8,2.0733017921447754
43,13.0,13.115887641906738
44,14.28,24.105480194091797
45,2.88,2.5434021949768066
46,31.5,28.4260196685791
47,3.6,2.4812276363372803
48,10.2,10.207240104675293
49,8.0,8.143324851989746
50,4.6,4.343423366546631
51,15.6,14.102313041687012
52,9.5,9.445635795593262
53,22.08,19.16710662841797
54,16.0,15.074125289916992
55,17.1,17.224668502807617
56,22.0,21.938119888305664
57,8.5,7.5387139320373535
58,24.2,23.586517333984375
59,3.0,2.9351422786712646
60,3.36,5.624417304992676
61,10.0,8.371698379516602
62,10.0,10.60812759399414
63,6.8,8.619993209838867
64,26.0,25.956079483032227
65,7.5,6.709261894226074
66,18.0,13.978609085083008
67,11.68,13.516568183898926
68,34.88,30.041337966918945
69,6.08,7.231389999389648
70,23.2,22.943044662475586
71,5.98,5.2127299308776855
72,14.0,16.150590896606445
73,33.0,32.79282760620117
74,11.5,11.957060813903809
75,38.8,37.89155578613281
76,21.5,19.82523536682129
77,10.98,8.110462188720703
78,23.8,25.43576431274414
79,21.8,19.01125717163086
80,12.3,10.712032318115234
81,9.3,9.654133796691895
82,16.5,16.424663543701172
83,7.5,7.095297336578369
84,4.0,4.077927589416504
85,4.58,7.251115322113037
86,5.1,6.678390026092529
87,18.0,17.993242263793945
88,39.8,34.07054138183594
89,7.0,7.004429340362549
90,2.1,5.282959938049316
91,6.29,6.016327857971191
92,25.8,25.68050193786621
93,18.0,17.749866485595703
94,6.5,6.932912349700928
95,21.0,21.04102325439453
96,26.0,25.311634063720703
97,11.0,10.973475456237793
98,29.0,30.900541305541992
99,1.36,3.5703999996185303
100,8.4,7.814183235168457
101,22.98,24.829458236694336
102,13.3,16.145795822143555
103,5.3,7.034298419952393
104,6.0,6.008172988891602
105,6.9,11.363306999206543
106,27.0,26.98508644104004
107,12.5,12.244710922241211
108,15.0,15.543488502502441
109,23.0,23.11146354675293
110,17.0,17.09922981262207
111,26.0,25.98968505859375
112,6.85,7.231475830078125
113,12.0,8.925512313842773
114,10.0,11.701674461364746
115,11.68,20.222654342651367
116,20.3,20.823467254638672
117,3.98,4.467443943023682
118,1.88,2.0698115825653076
119,15.0,15.129631042480469
120,3.5,3.6259653568267822
121,34.0,33.94178009033203
122,23.0,17.623388290405273
123,22.5,22.56951904296875
124,5.0,4.922883987426758
125,1.5,2.267707347869873
126,7.88,7.4608917236328125
127,24.0,23.681346893310547
128,13.5,12.29947280883789
129,19.5,21.786537170410156
130,21.5,19.510875701904297
131,25.38,22.16923713684082
132,10.5,4.799177646636963
133,20.5,16.675350189208984
134,8.5,8.295904159545898
135,22.0,21.73512840270996
136,9.0,9.001503944396973
137,8.28,11.312491416931152
138,10.2,19.015119552612305
139,37.0,32.73078918457031
140,15.0,11.607076644897461
141,34.0,33.91731262207031
142,22.8,21.964458465576172
143,4.68,5.171383857727051
144,19.8,19.248138427734375
145,13.5,13.377545356750488
146,17.99,18.520055770874023
147,21.0,21.04070472717285
148,26.0,25.940256118774414
149,3.78,5.2104411125183105
150,22.0,22.061229705810547
151,6.38,6.548128128051758
152,15.38,14.5188570022583
153,17.5,17.524019241333008
154,12.0,13.37695598602295
155,7.2,7.490161418914795
156,3.2,3.6368677616119385
157,12.0,10.81645679473877
158,27.88,29.4370174407959
159,5.0,5.581388473510742
160,5.18,4.581859588623047
161,10.0,8.951468467712402
162,1.6,2.0220139026641846
163,11.0,11.117383003234863
164,16.0,15.783097267150879
165,32.0,32.09107971191406
166,18.98,18.16159439086914
167,3.98,3.9776737689971924
168,17.0,17.369613647460938
169,6.98,8.156990051269531
170,25.0,24.656097412109375
171,14.0,12.456416130065918
172,20.0,18.63673973083496
173,3.7,3.469506025314331
174,18.5,20.748220443725586
175,16.8,16.678287506103516
176,19.5,21.287851333618164
177,15.8,14.898418426513672
178,27.98,28.082155227661133
179,6.6,6.394055366516113
180,6.0,6.720337867736816
181,6.0,5.990009307861328
182,6.0,5.993666172027588
183,18.3,14.596145629882812
184,6.3,7.727995872497559
185,17.38,16.73118782043457
186,11.0,10.986988067626953
187,4.8,3.447538137435913
188,25.8,27.814237594604492
189,4.8,3.8722739219665527
190,21.5,21.81106185913086
191,11.5,11.833277702331543
192,15.0,14.961508750915527
193,6.0,7.533898830413818
194,17.0,16.942880630493164
195,33.0,33.053245544433594
196,25.0,21.927675247192383
197,3.88,4.900115966796875
198,14.2,14.139564514160156
199,10.0,9.877694129943848
200,8.3,10.57282829284668
201,25.0,25.511154174804688
202,5.5,5.715712547302246
203,34.6,35.44923400878906
204,6.2,6.441779136657715
205,32.0,31.972097396850586
206,8.0,7.83669900894165
