,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
8993,6.8,0,11.27,1.04,37,2,0,0,0,0,1,0,0,1,0,3,0
8994,7.0,1,22.19,11.67,114,2,0,1,1,1,1,1,1,0,0,3,0
8995,6.68,0,11.78,6.09,45,1,0,0,1,1,1,1,0,0,0,3,0
8996,6.8,1,32.13,12.74,132,1,0,1,1,0,1,1,1,1,0,1,8
8997,6.78,0,13.53,8.37,34,2,0,0,1,0,1,0,0,1,0,1,6
8998,6.0,1,17.45,8.28,80,1,0,1,1,0,1,1,0,1,0,3,3
8999,6.28,1,14.63,8.85,87,2,0,0,1,0,1,1,0,1,0,2,4
9000,6.0,1,8.85,1.51,25,0,0,0,1,1,1,1,0,0,0,3,1
9001,6.3,1,13.33,9.26,82,0,0,1,1,0,7,1,1,1,0,3,2
9002,6.5,1,29.54,9.81,122,1,0,1,1,0,1,1,0,1,0,3,1
9003,6.0,1,14.9,3.28,39,0,0,0,1,0,7,0,0,1,0,1,7
9004,6.28,1,28.2,14.63,106,1,0,1,1,3,1,1,1,0,0,1,11
9005,7.0,0,13.24,2.93,39,1,0,0,1,0,7,1,0,1,0,2,3
9006,6.3,1,15.11,4.17,97,1,0,0,1,1,1,1,1,0,0,3,0
9007,6.98,1,13.13,5.31,80,0,0,1,1,0,1,0,0,1,0,1,11
9008,6.68,1,18.96,9.75,95,0,0,1,1,0,1,0,0,1,0,3,1
9009,6.2,1,21.25,8.65,110,1,0,1,1,1,1,0,0,0,0,3,3
9010,6.7,1,14.28,6.28,53,2,0,0,1,0,1,0,0,1,0,2,1
9011,6.68,1,14.63,9.71,80,2,0,0,1,0,1,1,0,1,0,3,0
9012,6.5,1,9.99,4.18,48,0,0,0,1,0,7,1,0,1,0,3,0
9013,7.0,1,20.17,11.71,73,2,0,0,1,1,7,1,0,0,0,3,3
9014,6.6,0,26.58,7.37,79,2,0,0,1,1,1,0,0,0,0,1,6
9015,6.88,1,23.86,4.69,113,2,0,1,1,1,1,1,0,0,0,3,5
9016,7.0,1,30.91,7.0,98,2,0,1,1,0,7,1,0,1,0,3,0
9017,6.0,1,14.68,8.67,85,1,0,0,1,0,7,1,1,1,0,3,0
9018,6.88,1,13.85,4.06,70,2,0,0,1,0,1,1,0,1,0,2,2
9019,6.48,0,14.26,11.64,39,2,0,0,1,0,1,0,0,1,0,3,2
9020,6.58,1,23.42,9.45,110,2,0,0,1,0,1,1,0,1,0,3,5
9021,6.4,1,21.04,14.87,130,2,0,1,1,0,1,1,1,1,0,3,0
9022,6.7,1,51.34,11.67,142,2,0,1,1,1,1,1,0,0,0,1,7
9023,6.0,1,12.28,9.36,75,0,0,0,1,5,7,1,1,0,0,3,0
9024,6.38,1,13.38,6.06,83,2,0,0,1,0,1,1,0,1,0,3,2
9025,6.2,1,33.63,19.88,121,1,0,1,1,1,7,1,1,0,0,1,8
9026,6.8,1,38.73,10.0,117,2,0,1,1,1,7,1,0,0,0,3,0
9027,6.5,0,70.34,18.9,140,1,0,1,1,0,7,1,1,1,0,3,2
9028,6.7,1,14.63,9.46,89,1,0,0,1,1,1,1,0,0,0,3,3
9029,6.0,0,8.02,1.11,132,1,0,0,1,0,7,0,1,1,1,3,0
9030,6.78,1,25.0,11.2,97,2,0,1,1,2,1,1,0,0,0,3,0
9031,6.98,1,17.78,10.67,90,0,0,1,1,2,1,1,0,0,0,1,7
9032,6.6,1,8.95,6.25,51,1,0,0,1,1,1,1,1,0,0,3,0
9033,6.9,1,29.07,13.26,106,1,0,0,1,3,1,1,0,0,0,1,7
9034,6.28,0,11.46,5.88,53,2,0,0,1,1,1,0,0,0,0,3,0
9035,6.58,0,12.18,5.51,75,1,0,0,1,1,1,1,1,0,0,3,0
9036,6.9,1,23.42,10.81,117,2,0,1,1,1,1,1,1,0,0,3,0
9037,6.66,1,17.89,8.53,100,1,0,0,1,1,1,0,0,0,0,1,8
9038,6.38,1,20.84,12.88,99,2,0,1,1,2,1,1,0,0,0,3,0
9039,6.5,1,26.14,13.95,162,1,0,1,1,1,1,1,0,0,0,1,12
9040,7.0,0,25.43,9.56,67,2,0,0,1,0,7,1,1,1,0,3,5
9041,6.0,1,12.5,10.48,50,1,0,0,1,1,7,1,0,0,0,3,3
9042,6.2,1,11.87,9.31,71,1,0,0,0,0,7,1,0,1,0,3,5
9043,6.0,1,14.69,5.3,82,1,0,0,1,0,7,1,0,1,0,3,0
9044,7.0,1,17.5,9.3,91,1,0,1,1,0,7,1,0,1,0,2,2
9045,6.0,1,21.36,18.31,94,2,0,1,1,0,7,0,0,1,0,3,0
9046,6.5,0,15.62,13.26,61,2,0,0,1,0,7,1,1,1,0,3,0
9047,6.3,1,14.37,12.92,65,0,0,0,1,0,7,1,1,1,0,3,0
9048,6.9,1,28.99,10.4,106,1,0,1,1,1,7,1,1,0,0,1,6
9049,6.6,0,25.49,5.47,68,0,0,0,1,0,7,1,0,1,0,3,2
9050,6.3,1,12.28,10.25,73,1,0,0,1,0,7,1,0,1,0,1,10
9051,6.0,0,14.85,9.88,86,0,0,0,1,0,7,1,0,1,0,3,0
9052,6.9,1,20.17,8.13,96,1,0,1,1,0,7,1,0,1,0,1,8
9053,6.68,1,13.75,8.57,58,0,0,0,1,0,7,1,0,1,0,3,0
9054,6.5,1,24.4,10.15,119,0,0,1,1,2,7,1,1,0,0,3,5
9055,6.5,1,10.63,5.09,33,0,0,0,1,0,7,0,0,1,0,1,7
9056,6.0,1,11.76,3.88,48,0,0,0,1,0,7,0,0,1,0,2,4
9057,7.0,1,27.95,5.44,111,1,0,1,1,1,7,0,1,0,0,3,5
9058,7.0,0,27.66,16.45,102,2,0,1,1,0,7,1,0,1,0,1,8
9059,6.0,1,42.18,12.14,158,2,0,1,1,0,7,1,1,1,0,1,8
9060,6.0,1,15.1,10.46,83,1,0,0,1,0,7,1,0,1,0,3,0
9061,6.0,1,17.3,5.41,101,0,0,1,1,0,7,1,0,1,0,3,3
9062,6.98,1,27.32,10.19,96,2,0,1,1,0,7,1,1,1,0,3,5
9063,6.98,1,11.67,1.55,14,0,0,0,0,0,7,1,0,1,0,3,0
9064,7.0,1,10.63,3.96,47,0,0,0,1,0,7,1,1,1,0,3,0
9065,6.3,1,13.33,6.92,79,0,0,0,1,0,7,0,0,1,0,3,4
9066,6.6,1,24.94,9.04,111,2,0,1,0,0,7,1,0,1,0,1,7
9067,6.0,1,13.07,11.29,82,2,0,1,1,0,7,1,0,1,0,2,5
9068,7.0,1,29.3,19.09,89,0,0,0,1,0,7,1,0,1,0,3,3
9069,6.6,1,27.44,9.56,114,0,0,1,1,0,7,1,1,1,0,1,8
9070,6.0,1,16.25,6.89,83,0,0,0,1,0,7,1,0,1,0,3,3
9071,6.5,1,17.35,11.7,82,1,0,1,1,0,7,1,1,1,0,3,5
9072,6.5,1,12.28,5.61,79,2,0,0,1,0,7,1,1,1,0,3,0
9073,6.1,1,12.39,5.75,52,0,0,0,1,0,7,0,0,1,0,2,4
9074,6.3,1,30.82,5.75,125,2,0,1,1,2,7,1,0,0,0,3,2
9075,6.98,1,12.49,5.67,41,1,0,0,1,0,7,1,1,1,0,3,2
9076,7.0,1,48.82,9.9,128,1,0,1,1,0,7,1,0,1,0,2,4
9077,6.5,1,10.41,2.06,17,1,0,0,0,1,7,1,0,0,0,3,1
9078,6.5,1,26.03,20.76,104,1,0,1,1,0,7,1,0,1,0,3,0
9079,6.8,1,26.03,14.99,88,0,0,1,1,0,7,1,0,1,0,3,0
9080,6.0,1,13.74,12.07,54,0,0,0,1,0,7,1,0,1,0,3,0
9081,6.6,1,24.94,14.85,131,0,0,1,1,2,7,1,0,0,0,3,3
9082,6.4,0,27.73,13.52,90,1,0,1,1,6,7,1,0,0,0,3,0
9083,6.2,1,20.61,8.02,97,1,0,1,1,0,7,1,0,1,0,3,2
9084,6.3,0,17.78,3.33,60,1,0,0,1,0,7,1,0,1,0,3,0
9085,6.3,1,9.37,2.98,41,0,0,0,1,0,7,1,1,1,0,3,0
9086,6.4,1,10.62,2.63,35,0,0,0,1,0,7,1,1,1,0,3,0
9087,6.8,0,18.64,4.89,45,2,0,0,1,0,7,1,0,1,0,3,3
9088,7.0,1,14.09,3.51,50,0,0,0,1,0,7,1,0,1,0,3,1
9089,6.2,1,22.78,4.57,74,2,0,0,1,0,7,1,1,1,0,3,0
9090,6.5,0,9.78,1.6,33,0,0,0,1,1,7,1,0,0,0,3,0
9091,6.5,0,13.44,1.92,29,0,0,0,0,0,7,1,1,1,0,3,0
9092,6.2,1,7.7,3.98,49,0,0,0,0,1,7,1,1,0,0,3,0
9093,6.2,1,28.63,16.65,128,0,0,1,1,0,7,1,0,1,0,3,0
9094,6.0,1,19.53,9.86,95,1,0,1,1,2,7,1,1,0,0,3,3
9095,6.9,1,13.13,2.57,21,1,0,0,1,0,7,0,0,1,0,3,0
9096,6.3,1,27.01,9.22,117,2,0,1,1,0,7,1,0,1,0,1,10
9097,6.98,1,22.71,9.13,84,1,0,0,1,0,7,0,0,1,0,3,2
9098,6.5,0,11.78,4.92,41,1,0,0,1,0,15,1,0,1,0,3,0
9099,6.5,0,11.88,5.46,86,0,0,0,1,0,15,1,0,1,0,3,3
9100,6.7,1,8.95,3.43,36,0,0,0,1,0,15,1,0,1,0,3,1
9101,6.6,0,21.69,11.53,75,1,0,0,1,1,30,1,0,0,0,3,1
9102,6.3,0,11.78,3.68,47,1,0,0,1,0,15,1,0,1,0,3,0
9103,6.3,1,11.34,5.53,41,0,0,0,1,0,15,1,1,1,0,3,0
9104,6.5,1,21.05,6.31,101,0,0,1,1,0,15,1,1,1,0,3,4
9105,7.0,1,14.37,12.77,60,2,0,0,1,1,7,1,0,0,0,3,0
9106,6.0,1,28.2,11.73,155,0,0,1,1,0,15,1,1,1,0,1,11
9107,6.98,1,19.52,9.53,94,0,0,1,1,1,15,1,1,0,0,3,0
9108,6.5,1,26.05,10.19,97,1,0,1,1,0,7,1,1,1,0,3,2
9109,6.38,1,12.49,4.81,47,1,0,0,1,0,15,1,0,1,0,3,1
9110,6.6,0,11.67,3.88,38,0,0,0,1,1,15,1,1,0,0,3,5
9111,6.8,1,16.25,6.81,78,1,0,0,1,0,15,1,0,1,0,3,2
9112,6.5,1,12.71,4.13,49,1,0,0,0,0,15,0,0,1,0,3,1
9113,6.5,1,17.35,1.67,82,0,0,1,1,0,15,1,0,1,0,3,4
9114,6.99,1,20.29,9.57,69,0,0,0,1,1,7,1,0,0,0,3,0
9115,6.5,1,25.0,9.91,98,1,0,1,1,0,7,1,0,1,0,3,2
9116,6.0,1,12.8,16.85,30,0,0,0,1,0,15,0,1,1,0,2,5
9117,6.0,1,12.39,11.36,71,1,0,0,1,0,15,1,1,1,0,3,0
9118,6.9,0,13.12,2.29,58,0,0,0,1,0,15,1,1,1,0,2,2
9119,6.3,1,16.26,7.15,94,1,0,1,1,0,7,1,0,1,0,1,7
9120,6.88,1,16.69,12.08,75,0,0,0,1,0,15,1,0,1,0,3,3
9121,6.38,1,17.78,8.53,83,0,0,1,1,0,15,0,0,1,0,3,1
9122,6.8,1,13.01,10.87,69,0,0,0,1,1,7,1,1,0,0,2,3
9123,6.98,0,15.52,7.66,68,1,0,0,1,0,15,0,0,1,0,3,1
9124,7.0,1,19.95,18.93,94,0,0,1,1,2,15,1,1,0,0,3,1
9125,6.0,1,10.42,2.03,51,0,0,0,1,0,15,1,0,1,0,3,0
9126,6.6,1,13.32,6.65,48,1,0,0,1,1,15,1,0,0,0,3,2
9127,6.5,1,12.49,6.62,42,0,0,0,1,0,15,1,0,1,0,3,2
9128,6.0,1,17.61,18.3,96,1,0,1,1,2,7,1,0,0,0,1,10
9129,6.3,1,11.46,5.77,53,0,0,0,1,0,15,1,0,1,0,3,0
9130,6.5,1,19.3,6.4,88,1,0,0,1,0,7,1,0,1,0,3,1
9131,6.98,1,33.63,10.31,141,0,0,1,1,1,15,1,0,0,0,1,6
9132,6.2,1,14.37,5.82,89,1,0,0,1,0,15,1,0,1,0,3,1
9133,6.6,1,8.95,7.53,42,1,0,0,1,1,15,1,0,0,0,3,4
9134,6.5,1,24.59,9.63,123,0,0,1,1,2,15,1,0,0,0,3,5
9135,6.95,1,15.11,5.62,77,0,0,0,1,0,7,1,1,1,0,3,0
9136,6.5,1,16.35,15.33,70,2,0,0,1,0,15,1,1,1,0,1,6
9137,7.0,1,28.2,13.95,104,1,0,1,1,0,15,1,1,1,0,3,0
