,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
22869,15.0,宝马,49.89,15.27,106,北京,0,1,1,6,15,0,0,0,0,2,3
22870,14.9,奔驰,41.03,8.57,75,益阳,0,0,1,1,30,0,0,0,0,1,8
22871,14.0,本田,18.75,7.23,45,临沂,0,0,1,1,3,1,0,0,0,3,0
22872,14.0,丰田,26.03,7.31,57,沈阳,0,0,1,1,15,0,0,0,0,3,2
22873,14.0,福特,54.25,11.33,98,上海,0,1,1,0,15,1,0,1,0,3,2
22874,15.0,大众,28.2,7.19,51,扬州,0,0,1,0,7,1,0,1,0,2,4
22875,15.0,宝马,29.91,4.05,54,承德,0,0,1,0,15,1,1,1,0,3,0
22876,15.0,宝马,37.97,7.77,86,北京,0,1,1,0,7,1,0,1,0,3,4
22877,14.99,沃尔沃,51.01,9.31,83,重庆,0,0,1,1,7,0,0,0,0,3,1
22878,14.0,哈弗,16.92,1.75,120,哈尔滨,0,0,1,0,7,1,0,1,1,3,0
22879,14.6,凯迪拉克,46.46,3.97,61,深圳,0,0,1,0,7,1,0,1,0,3,5
22880,14.0,大众,27.13,19.66,54,北京,0,0,1,0,7,1,0,1,0,3,3
22881,14.68,本田,20.83,4.43,38,惠州,0,0,1,1,7,1,0,0,0,3,3
22882,14.0,大众,19.49,1.21,15,商丘,0,0,1,1,7,1,0,0,0,2,1
22883,15.0,奥迪,22.91,1.9,23,广州,0,0,1,0,15,1,1,1,0,3,0
22884,14.5,宝马,53.69,14.45,110,蚌埠,0,1,1,1,7,1,0,0,0,3,0
22885,14.38,奔驰,48.3,16.17,96,佛山,0,1,1,0,7,0,0,1,0,3,0
22886,15.0,大众,28.87,3.79,35,成都,0,0,1,0,7,1,0,1,0,3,0
22887,14.5,宝马,35.36,9.08,69,南京,0,0,1,0,7,1,0,1,0,3,2
22888,15.0,丰田,24.18,6.68,51,佛山,0,0,1,0,7,1,0,1,0,3,1
22889,15.0,沃尔沃,28.43,4.09,43,合肥,0,0,1,0,7,1,0,1,0,3,0
22890,14.1,大众,25.5,7.07,45,合肥,0,0,1,0,7,1,1,1,0,3,2
22891,15.0,路虎,57.31,1.94,97,上海,0,1,1,0,15,1,0,1,0,3,4
22892,14.5,大众,23.13,2.37,20,德阳,0,0,1,0,15,1,0,1,0,2,1
22893,14.0,福特,29.29,17.17,55,北京,0,0,1,0,7,1,0,1,0,3,1
22894,14.18,奔驰,43.2,6.3,96,惠州,0,1,1,0,7,1,0,1,0,3,3
22895,15.0,路虎,58.4,6.06,103,天津,0,1,1,0,7,1,0,1,0,1,9
22896,14.18,别克,20.52,2.51,14,沈阳,0,0,1,1,15,0,0,0,0,2,1
22897,14.0,福特,29.29,7.84,49,湖州,0,0,1,0,15,1,0,1,0,3,0
22898,14.0,路虎,43.2,9.23,80,德州,0,0,1,3,7,1,1,0,0,2,5
22899,14.5,宝马,53.69,10.48,107,常州,0,1,1,2,7,1,0,0,0,3,3
22900,14.5,别克,24.95,10.59,54,成都,0,0,1,0,15,1,0,1,0,3,0
22901,15.0,奔驰,24.9,7.06,39,北京,0,0,1,0,7,0,0,1,0,3,1
