,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
1529,福田,1.88,6.84,18.97,138,北京,0,1,0,2,30,1,1,0,0,3,3
1530,东风风行,2.58,8.89,1.93,93,深圳,0,1,0,0,30,1,0,1,0,3,0
1531,长安,0.98,5.72,14.69,123,重庆,0,1,0,1,30,1,0,0,0,3,5
1532,福特,2.68,10.21,10.37,131,扬州,0,1,1,1,60,1,0,0,0,3,3
1533,五菱汽车,2.58,4.98,7.96,101,株洲,0,1,0,1,30,1,1,0,0,3,0
1534,日产,2.4,6.24,6.33,83,哈尔滨,0,0,0,1,30,1,0,0,0,3,3
1535,奥迪,2.66,35.33,19.01,178,成都,1,1,1,0,1,1,1,1,0,3,0
1536,名爵,1.1,20.25,8.84,175,湖州,1,1,0,0,30,0,0,1,0,1,13
1537,东风风神,2.3,8.32,8.74,109,武汉,0,1,1,0,1,1,0,1,0,3,0
1538,斯柯达,2.98,9.48,15.56,113,广州,0,1,1,0,1,1,1,1,0,1,9
1539,日产,1.88,14.16,18.71,154,广州,0,1,0,0,1,1,0,1,0,3,0
1540,雪佛兰,1.68,14.07,10.49,138,邵阳,0,1,1,1,30,1,0,0,0,3,0
1541,吉利汽车,2.7,8.32,6.27,73,郑州,0,0,0,2,30,1,0,0,0,1,9
1542,铃木,2.28,9.57,15.34,162,东莞,0,1,1,0,30,1,0,1,0,3,3
1543,宝骏,3.0,8.63,5.01,83,郑州,0,1,0,0,30,1,0,1,0,3,1
1544,五菱汽车,2.99,4.78,3.86,60,淮安,0,0,0,0,30,1,0,1,0,3,0
1545,Jeep,2.68,29.3,13.68,149,郑州,0,1,1,1,30,1,0,0,0,1,13
1546,东南,2.08,5.93,7.0,88,东莞,0,1,0,0,30,1,0,1,0,3,2
1547,哈弗,2.28,11.66,12.64,104,东莞,0,1,0,0,120,1,0,1,0,3,1
1548,别克,2.88,17.94,8.73,118,泉州,0,1,1,1,30,1,0,0,0,3,0
1549,雪佛兰,1.88,15.19,11.18,148,东莞,0,1,1,0,30,0,0,1,0,3,2
1550,中华,2.2,7.9,7.86,98,平顶山,0,0,1,1,30,1,0,0,0,3,2
1551,海马,1.7,12.91,3.57,50,郑州,0,0,1,0,120,1,0,1,0,3,2
1552,日产,1.88,7.39,13.33,132,东莞,0,1,0,0,30,0,0,1,0,3,0
1553,大众,1.98,13.95,8.61,159,郑州,0,1,0,1,120,1,0,0,0,1,8
1554,吉利汽车,0.88,4.67,7.01,115,荆州,0,1,0,2,120,1,1,0,0,3,1
1555,五菱汽车,1.5,5.61,9.1,92,株洲,0,1,0,1,120,1,0,0,0,1,8
1556,江淮,2.35,6.93,9.38,91,荆州,0,1,0,2,120,1,1,0,0,3,0
1557,日产,2.98,12.18,9.15,145,东莞,0,1,1,0,120,1,0,1,0,3,3
1558,长安,2.28,8.75,6.9,110,株洲,0,1,0,1,120,1,0,0,0,3,1
1559,江淮,1.78,7.38,10.44,114,东莞,0,1,0,0,120,1,0,1,0,3,2
1560,北汽幻速,2.18,7.17,8.86,90,东莞,0,1,0,0,120,1,0,1,0,3,2
1561,雪佛兰,2.98,13.34,11.57,117,东莞,0,1,1,0,120,1,0,1,0,3,2
1562,三菱,2.98,13.66,8.3,125,郑州,0,1,0,1,120,1,0,0,0,1,9
1563,大众,2.3,7.9,10.95,111,齐齐哈尔,0,1,0,0,120,0,0,1,0,3,2
1564,吉利汽车,2.2,5.2,12.92,71,武汉,0,0,0,0,120,1,0,1,0,3,0
1565,别克,2.5,10.63,7.76,107,大连,0,1,1,1,120,1,1,0,0,3,0
1566,日产,2.5,6.98,1.11,116,郑州,0,1,0,0,30,1,0,1,0,3,2
1567,福特,2.96,10.83,9.35,103,泉州,0,1,0,0,120,1,1,1,0,3,0
1568,比亚迪,0.88,7.38,13.02,132,株洲,1,1,0,0,120,1,0,1,0,1,9
1569,福特,1.98,9.37,9.6,113,东莞,0,1,0,0,120,1,0,1,0,3,1
1570,长安凯程,2.38,6.56,5.14,97,郑州,0,1,0,1,120,1,0,0,0,3,0
1571,五菱汽车,2.8,4.46,4.48,59,南阳,0,0,0,0,120,1,0,1,0,3,0
1572,马自达,2.58,13.35,9.58,160,兰州,1,1,1,1,120,1,1,0,0,3,5
1573,标致,1.5,9.68,9.16,139,南阳,0,1,0,1,120,1,0,0,0,3,1
1574,福田,0.5,7.34,22.36,133,郑州,0,1,0,0,30,1,0,1,0,3,0
1575,长安,2.18,8.44,7.35,103,东莞,0,1,0,0,120,1,0,1,0,3,3
1576,本田,1.58,12.18,10.58,175,成都,1,1,1,0,7,1,0,1,0,3,5
1577,雪佛兰,2.7,12.5,7.33,100,潍坊,0,1,0,1,120,1,1,0,0,3,2
1578,江淮,2.98,12.46,7.47,96,乌鲁木齐,0,1,0,0,120,1,0,1,0,3,0
1579,长安,2.58,8.64,10.29,103,重庆,0,0,0,0,30,1,1,1,0,3,0
1580,荣威,2.88,10.29,7.97,105,东莞,0,1,1,0,120,1,0,1,0,3,4
1581,长安凯程,2.5,4.06,2.8,73,郑州,0,1,0,0,120,1,0,1,0,3,0
1582,奇瑞,1.68,7.08,8.78,98,东莞,0,1,0,0,30,1,0,1,0,3,3
1583,东风风行,2.98,7.08,6.91,64,郑州,0,0,0,0,120,1,0,1,0,3,1
1584,别克,2.88,14.36,9.31,103,株洲,0,1,0,0,120,1,0,1,0,1,13
1585,斯柯达,2.48,14.28,15.87,158,东莞,0,1,1,0,30,1,0,1,0,3,3
1586,名爵,1.55,7.27,10.36,95,郑州,0,1,0,0,120,1,0,1,0,2,2
1587,奇瑞,1.58,12.24,3.79,170,郑州,0,1,0,0,120,1,0,1,0,1,7
1588,别克,2.48,12.09,13.92,104,郑州,0,1,1,1,120,1,0,0,0,1,12
1589,北京汽车,1.58,7.17,9.4,107,东莞,0,1,1,1,120,1,1,0,0,1,7
1590,大众,2.88,12.49,13.82,127,郑州,0,1,1,0,120,1,1,1,0,1,6
1591,荣威,2.58,10.81,10.42,124,荆州,0,1,1,0,120,1,1,1,0,3,3
1592,中华,0.88,10.4,14.28,170,商丘,0,1,0,2,120,1,0,0,0,3,1
1593,别克,2.58,10.1,7.65,89,郑州,0,0,0,1,120,1,0,0,0,3,3
1594,起亚,2.18,20.49,15.08,161,庆阳,0,1,0,1,120,1,1,0,0,3,0
1595,北汽威旺,1.78,5.04,13.54,75,东莞,0,1,0,0,120,1,0,1,0,3,2
1596,纳智捷,2.98,24.31,13.9,115,东莞,0,1,1,0,120,1,0,1,0,3,3
1597,五菱汽车,2.2,3.52,5.63,51,东莞,0,0,0,1,120,1,1,0,0,3,0
1598,东南,2.98,8.95,13.23,111,东莞,0,1,1,0,120,1,0,1,0,3,2
1599,马自达,2.68,20.6,17.12,151,梅州,0,1,1,1,7,0,0,0,0,1,19
1600,哈弗,1.0,10.07,10.01,137,沈阳,0,1,0,3,7,1,1,0,0,1,12
1601,荣威,2.7,14.09,4.99,95,南京,0,1,1,0,7,1,0,1,0,3,0
1602,别克,3.0,20.07,8.53,126,郑州,0,1,1,1,7,1,0,0,0,1,12
1603,雪佛兰,2.5,13.34,8.35,117,宁波,0,1,1,1,7,1,0,0,0,3,0
1604,起亚,2.58,19.95,19.95,152,西安,0,1,1,0,7,1,0,1,0,3,0
1605,长安凯程,0.6,2.8,8.22,123,淮南,0,1,0,1,7,1,0,0,0,1,10
1606,马自达,2.1,15.41,17.86,164,鞍山,0,1,1,4,7,0,0,0,0,1,8
1607,长安欧尚,2.45,7.5,6.85,56,南通,0,0,0,0,7,1,0,1,0,3,2
1608,铃木,2.38,12.39,13.38,144,成都,0,1,1,0,7,1,0,1,0,3,3
1609,长安,1.68,8.33,9.62,118,菏泽,0,1,0,0,7,1,0,1,0,3,2
1610,福特,2.6,13.65,17.13,119,宁波,0,1,1,0,15,1,0,1,0,3,0
1611,铃木,1.9,4.79,8.58,81,保定,0,0,0,0,7,1,0,1,0,3,1
1612,大众,2.8,11.24,10.9,119,昆明,0,1,0,0,7,0,0,1,0,1,9
1613,丰田,2.08,12.6,12.43,162,佛山,0,1,1,0,7,0,0,1,0,3,0
1614,开瑞,2.8,4.74,15.14,45,广州,0,0,0,0,7,1,0,1,0,3,0
1615,五菱汽车,2.9,4.78,2.93,48,哈尔滨,0,0,0,1,7,1,0,0,0,3,0
1616,哈弗,3.0,13.87,22.76,124,北京,0,1,0,0,7,1,1,1,0,1,8
1617,日产,2.0,11.76,15.38,162,贵阳,1,1,1,1,7,0,0,0,0,1,7
1618,雪铁龙,1.08,7.7,10.17,143,成都,0,1,0,1,7,0,0,0,0,1,8
1619,福特,2.9,13.44,9.24,96,深圳,0,1,1,0,7,1,0,1,0,1,6
1620,五菱汽车,1.7,4.25,5.73,74,汕尾,0,0,0,1,7,1,0,0,0,3,0
1621,别克,2.6,12.29,2.35,114,湖州,0,1,1,1,7,1,0,0,0,3,1
1622,福特,0.8,12.91,14.09,156,辽源,0,1,0,1,7,1,1,0,0,1,16
1623,比亚迪,2.5,9.79,9.66,90,合肥,0,1,1,0,7,1,1,1,0,2,4
1624,现代,2.5,10.41,7.05,99,昆明,0,1,0,0,7,1,0,1,0,3,5
1625,金杯,2.4,5.61,5.27,57,宁波,0,0,0,0,7,1,0,1,0,3,0
1626,大众,2.5,13.64,6.25,150,大连,0,1,1,0,7,1,0,1,0,3,0
1627,雪佛兰,2.32,17.03,8.84,119,成都,0,1,1,0,7,1,0,1,0,3,3
1628,雪铁龙,3.0,21.81,5.43,114,温州,0,1,1,0,7,1,1,1,0,1,6
1629,五菱汽车,1.8,4.2,7.91,100,苏州,0,1,0,0,7,1,1,1,0,3,0
1630,福特,3.0,11.24,12.69,70,合肥,0,0,0,0,7,1,0,1,0,3,1
1631,本田,2.7,12.18,10.99,139,北京,0,1,1,2,7,0,0,0,0,3,5
1632,丰田,2.4,7.9,12.15,99,苏州,0,1,0,0,7,1,0,1,0,1,10
1633,五菱汽车,0.98,4.2,12.38,160,成都,1,1,0,1,7,1,1,0,0,1,11
1634,日产,3.0,9.68,6.49,101,上海,0,1,0,0,7,1,0,1,0,3,0
1635,比亚迪,0.98,10.83,12.29,112,深圳,0,1,0,0,7,0,0,1,0,1,16
1636,日产,1.98,18.32,20.44,164,广州,0,1,1,0,7,1,1,1,0,3,4
1637,马自达,3.0,13.43,11.82,131,宁波,0,1,1,0,7,1,0,1,0,3,0
1638,现代,3.0,17.89,14.1,125,北京,0,1,0,0,7,1,1,1,0,1,12
1639,奇瑞,1.68,9.36,7.83,121,哈尔滨,0,1,0,1,7,0,0,0,0,1,6
1640,现代,2.3,18.43,8.59,138,上海,0,1,0,0,7,1,0,1,0,2,3
1641,福特,1.98,19.52,17.21,168,深圳,1,1,1,0,7,1,1,1,0,1,6
1642,雪佛兰,1.0,12.5,12.8,117,深圳,0,1,0,0,7,1,0,1,0,3,4
1643,福特,2.6,12.24,10.54,112,平顶山,0,1,0,0,7,1,0,1,0,3,2
1644,本田,2.6,9.36,10.28,107,平顶山,0,1,0,0,7,1,0,1,0,3,4
1645,别克,1.98,12.29,10.44,127,贵港,0,1,1,4,7,1,0,0,0,3,0
1646,比亚迪,2.9,14.1,9.16,80,临沂,0,1,1,1,7,1,0,0,0,3,1
1647,大众,1.8,9.47,16.3,146,天津,0,1,0,0,7,1,1,1,0,1,9
1648,比亚迪,2.5,11.71,13.82,122,天津,0,1,0,1,7,1,0,0,0,1,9
1649,大众,1.8,12.8,8.67,139,合肥,0,1,0,3,7,1,0,0,0,3,5
1650,现代,1.4,9.36,18.19,146,杭州,0,1,0,0,7,1,1,1,0,3,2
1651,名爵,1.9,13.76,10.45,117,成都,0,1,0,0,7,1,1,1,0,3,0
1652,中华,1.68,7.49,9.29,101,成都,1,1,0,0,7,1,1,1,0,3,0
1653,众泰,1.2,11.14,7.24,88,武汉,0,0,0,1,7,1,1,0,0,3,3
1654,斯柯达,1.5,15.32,22.56,171,南京,1,1,1,2,7,1,0,0,0,3,0
1655,别克,1.2,14.31,16.96,170,和田,1,1,1,2,7,1,1,0,0,3,0
1656,东风小康,1.5,5.19,6.48,61,深圳,0,1,0,1,7,1,1,0,0,3,4
1657,江淮,0.6,5.82,13.89,144,平顶山,0,1,0,0,7,1,0,1,0,1,6
1658,现代,1.6,10.41,4.7,120,宁波,0,1,0,0,7,0,0,1,0,3,2
1659,斯柯达,1.0,8.54,13.01,145,宁波,0,1,0,0,7,0,0,1,0,3,2
1660,江淮,2.0,12.36,3.62,56,杭州,0,0,1,0,7,1,0,1,0,3,0
1661,五菱汽车,2.8,4.26,8.25,48,毕节,0,0,0,0,7,0,0,1,0,3,0
1662,丰田,1.78,12.6,11.2,162,成都,1,1,1,0,7,1,0,1,0,3,0
1663,长安,2.6,8.33,9.15,89,武汉,0,0,0,1,7,1,1,0,0,3,4
1664,福特,2.68,11.36,9.89,139,淮安,0,1,1,1,7,1,0,0,0,3,0
1665,马自达,1.88,12.3,11.26,160,兰州,0,1,0,0,60,1,0,1,0,3,0
1666,福特,1.1,12.91,12.52,143,合肥,0,1,0,0,7,1,0,1,0,3,2
1667,奇瑞,2.68,10.84,10.78,97,芜湖,0,0,0,0,7,1,0,1,0,1,6
1668,本田,2.4,9.36,6.95,156,昆明,0,1,0,2,60,1,1,0,0,1,9
1669,起亚,2.0,18.43,7.96,154,郑州,0,1,1,0,7,1,0,1,0,3,0
1670,日产,2.18,13.53,11.55,177,昆明,1,1,1,1,60,1,0,0,0,1,12
1671,标致,3.0,24.93,17.55,122,上海,0,1,1,0,7,1,0,1,0,1,9
1672,五菱汽车,1.68,3.21,4.61,56,郑州,0,0,0,0,60,1,0,1,0,3,0
1673,五菱汽车,2.8,3.42,1.43,18,北海,0,0,1,0,60,1,1,1,0,3,0
1674,奔腾,1.0,16.48,9.1,166,湖州,0,1,1,0,7,1,1,1,0,1,6
1675,长安,2.5,16.14,9.81,55,杭州,0,0,1,0,7,1,0,1,0,3,0
1676,东风风行,0.8,9.06,7.95,106,新乡,0,1,0,0,7,0,0,1,0,3,0
1677,吉利汽车,1.58,8.32,12.13,115,东莞,0,1,0,2,60,1,0,0,0,1,7
1678,奇瑞,2.68,8.12,3.42,81,郑州,0,0,0,0,60,1,0,1,0,3,0
1679,荣威,1.75,9.35,11.28,104,合肥,0,1,0,0,60,1,1,1,0,3,0
1680,马自达,1.5,10.56,10.67,170,上海,0,1,1,0,60,1,0,1,0,1,10
1681,雪佛兰,2.0,12.5,15.03,143,北京,0,1,0,0,7,0,0,1,0,1,7
1682,别克,1.1,12.29,17.37,152,合肥,1,1,1,0,7,1,1,1,0,3,0
1683,大众,2.48,14.47,15.17,167,昆明,0,1,0,1,60,1,1,0,0,3,4
1684,吉利汽车,0.99,5.4,10.63,120,昆明,0,1,0,1,60,1,0,0,0,1,12
1685,雪佛兰,2.88,13.34,12.22,110,惠州,0,1,1,0,60,1,0,1,0,3,1
1686,长城,2.28,8.84,12.57,112,廊坊,0,1,0,0,60,0,0,1,0,1,11
1687,大众,2.3,9.68,27.15,95,北京,0,1,0,0,7,1,0,1,0,3,2
1688,日产,2.48,23.86,18.37,167,郑州,0,1,1,1,60,1,0,0,0,2,5
1689,丰田,3.0,15.31,11.65,146,合肥,0,1,1,0,7,1,0,1,0,3,3
1690,雪佛兰,0.65,7.81,12.36,151,武汉,0,1,0,0,7,1,1,1,0,1,6
1691,雪佛兰,1.98,6.92,5.24,100,昆明,0,1,0,0,60,0,0,1,0,1,12
1692,众泰,2.0,8.33,6.58,73,南昌,0,0,0,0,7,1,0,1,0,3,1
1693,雪佛兰,2.4,6.56,12.91,73,临夏,0,0,0,0,60,1,0,1,0,3,0
1694,大众,2.78,14.06,16.67,132,郑州,0,1,1,0,60,1,0,1,0,1,7
1695,长安,2.18,4.89,5.39,68,兰州,0,0,0,0,60,1,0,1,0,3,0
1696,长城,2.46,6.66,7.8,95,昆明,0,1,0,1,60,1,1,0,0,1,8
1697,马自达,1.98,23.86,14.01,176,苏州,1,1,1,0,60,1,1,1,0,1,6
1698,雪佛兰,2.38,8.54,12.07,131,宜春,0,1,0,1,60,1,0,0,0,3,0
1699,吉利汽车,1.85,8.32,9.42,96,新乡,0,1,0,1,60,1,0,0,0,2,5
1700,启辰,2.88,8.01,12.18,109,东莞,0,1,1,0,60,1,0,1,0,3,3
1701,长安,1.38,4.79,7.86,101,兰州,0,1,0,1,60,1,0,0,0,3,0
1702,现代,2.28,12.49,9.76,133,郑州,0,1,1,1,60,1,0,0,0,1,7
1703,东风小康,1.5,3.85,2.48,98,郑州,0,1,0,0,60,1,0,1,0,3,4
1704,雪佛兰,1.2,7.17,5.43,129,郑州,0,1,0,0,60,1,0,1,0,3,2
1705,中华,0.88,9.68,18.45,157,昆明,0,1,0,0,60,0,0,1,0,1,12
1706,吉利汽车,0.9,5.72,7.29,117,昆明,0,1,1,0,3,1,0,1,0,3,0
1707,奇瑞,2.48,7.18,6.48,62,遵义,0,0,0,0,3,1,0,1,0,3,0
1708,五菱汽车,2.88,4.06,2.41,38,北京,0,0,0,0,60,1,1,1,0,3,0
1709,荣威,1.2,9.35,12.48,100,大庆,0,1,0,1,3,1,0,0,0,1,7
1710,吉利汽车,2.5,8.32,8.63,78,成都,0,0,0,0,3,1,0,1,0,3,2
1711,马自达,2.6,19.52,10.15,144,杭州,0,1,1,0,3,1,1,1,0,3,3
1712,奇瑞,3.0,7.5,3.42,66,上海,0,0,1,0,3,1,0,1,0,3,0
1713,本田,2.6,14.96,14.16,147,上海,0,1,1,0,60,1,0,1,0,2,4
1714,福特,2.3,13.01,17.88,117,上海,0,1,0,0,3,1,1,1,0,1,7
1715,五菱汽车,0.6,4.58,6.67,110,邯郸,0,1,0,0,3,1,0,1,0,1,7
1716,斯柯达,1.68,13.02,14.25,156,东莞,0,1,0,0,60,1,0,1,0,3,4
1717,大众,2.58,12.39,9.98,144,沈阳,0,1,0,1,3,1,0,0,0,3,0
1718,铃木,2.68,4.79,7.96,79,邢台,0,0,0,2,60,1,1,0,0,3,0
1719,smart,3.0,14.39,7.15,123,无锡,0,1,1,0,3,1,1,1,0,3,0
1720,起亚,2.75,11.34,9.85,122,郑州,0,1,1,2,3,1,0,0,0,1,10
1721,雪铁龙,3.0,20.61,11.34,117,上海,0,1,1,0,3,1,1,1,0,3,0
1722,现代,0.98,7.49,9.22,150,天津,0,1,0,1,3,1,0,0,0,3,4
1723,吉利汽车,2.58,6.14,8.34,66,佛山,0,0,0,1,3,1,0,0,0,3,0
1724,斯巴鲁,2.6,27.66,29.68,163,郑州,1,1,1,0,60,1,0,1,0,1,10
1725,比亚迪,1.4,8.67,14.04,96,上海,0,1,0,0,3,1,1,1,0,3,4
1726,江淮,1.88,6.24,6.49,101,石家庄,0,1,0,1,3,0,0,0,0,3,0
1727,雪铁龙,0.58,11.34,28.23,148,郑州,0,1,0,0,3,1,0,1,0,1,8
1728,奔腾,1.6,10.09,13.41,106,沈阳,1,1,0,0,3,0,0,1,0,1,6
1729,大众,3.0,24.62,7.39,141,广州,0,1,1,0,3,1,0,1,0,3,3
1730,荣威,1.3,9.35,10.41,103,南京,0,1,0,0,3,1,0,1,0,3,2
1731,纳智捷,2.98,24.94,13.79,80,武汉,0,0,1,0,3,1,1,1,0,3,4
1732,海马,0.6,11.7,15.88,167,许昌,0,1,0,1,3,1,0,0,0,1,7
1733,奔腾,1.55,15.39,13.42,156,沈阳,0,1,1,0,3,1,0,1,0,1,9
1734,雪佛兰,1.5,7.9,16.41,139,惠州,0,1,1,2,3,0,0,0,0,1,11
1735,奔腾,1.5,9.68,7.09,88,郑州,0,1,0,0,3,0,0,1,0,3,1
1736,大众,2.0,12.39,7.79,142,北京,0,1,0,0,3,1,0,1,0,1,7
1737,东风小康,1.68,2.91,14.33,101,武汉,0,1,0,0,3,1,0,1,0,3,0
1738,东风风行,1.38,7.6,9.97,95,商丘,0,1,0,0,60,1,0,1,0,3,3
1739,荣威,2.98,8.64,8.59,79,苏州,0,0,0,0,60,1,1,1,0,3,3
1740,福特,3.0,9.89,8.97,107,晋城,0,1,0,0,3,1,0,1,0,3,0
1741,比亚迪,0.58,9.75,10.63,156,郑州,0,1,0,3,60,1,0,0,0,1,7
1742,起亚,2.3,8.12,12.05,109,驻马店,0,1,0,1,60,1,0,0,0,2,3
1743,比亚迪,2.38,7.29,6.39,74,昭通,0,0,0,1,60,1,0,0,0,1,10
1744,力帆汽车,1.98,8.99,12.04,68,东莞,0,0,0,0,60,1,0,1,0,3,4
1745,江淮,2.68,18.75,6.76,71,广州,0,0,1,0,3,1,0,1,0,3,0
1746,雪铁龙,2.5,14.32,8.26,100,南通,0,1,0,0,3,1,1,1,0,3,0
1747,比亚迪,1.36,5.62,9.99,116,东莞,0,1,0,0,60,1,0,1,0,3,3
1748,瑞麒,0.65,15.5,12.13,121,芜湖,0,1,0,1,3,1,0,0,0,2,4
1749,别克,3.0,15.63,6.52,122,东莞,0,1,1,0,3,1,0,1,0,1,8
1750,福特,2.3,10.83,12.72,118,沈阳,0,1,0,1,3,1,1,0,0,1,8
1751,金杯,2.58,5.09,9.36,49,郑州,0,0,0,1,60,1,0,0,0,3,0
1752,日产,2.8,21.69,15.79,166,双鸭山,0,1,1,0,3,1,1,1,0,3,3
1753,奇瑞,0.7,5.82,10.45,121,郑州,0,1,0,1,60,1,0,0,0,1,6
1754,中华,2.6,8.95,4.98,55,长春,0,0,0,0,3,0,0,1,0,2,4
1755,哈弗,1.9,11.48,8.47,127,廊坊,0,1,0,0,3,1,1,1,0,1,9
1756,比亚迪,2.68,4.58,4.84,45,百色,0,0,0,1,60,1,0,0,0,3,0
1757,长安凯程,1.4,5.16,11.74,70,宁波,0,0,0,0,3,1,0,1,0,3,0
1758,江淮,1.0,7.8,8.14,104,蚌埠,0,1,0,1,3,1,1,0,0,1,10
1759,长安,1.38,8.74,16.52,149,巴中,0,1,0,2,120,1,0,0,0,3,0
1760,本田,2.8,16.26,9.18,159,杭州,0,1,1,1,3,1,1,0,0,1,10
1761,现代,1.88,18.43,12.89,142,郑州,0,1,0,6,60,1,0,0,0,2,3
1762,日产,2.38,14.79,16.25,182,东莞,1,1,1,0,60,1,0,1,0,1,7
1763,本田,3.0,16.26,9.11,151,南宁,1,1,1,1,3,1,1,0,0,3,0
1764,陆风,2.58,11.92,11.08,90,东莞,0,1,0,0,60,1,0,1,0,3,3
1765,丰田,2.8,10.22,11.73,145,郑州,0,1,1,0,60,1,0,1,0,3,0
1766,力帆汽车,0.55,5.39,5.9,143,郑州,0,1,0,0,60,1,0,1,0,3,0
1767,标致,0.98,9.68,9.5,153,天津,1,1,0,1,60,1,0,0,0,3,2
1768,雪铁龙,2.1,11.24,7.25,101,郑州,0,1,0,0,60,1,0,1,0,3,0
1769,铃木,1.98,10.3,11.95,137,临沧,0,1,0,2,120,0,0,0,0,3,1
1770,华泰新能源,2.48,22.26,0.3,66,郑州,0,0,1,2,60,1,0,0,0,3,2
1771,丰田,2.88,12.6,13.25,175,东莞,1,1,1,0,60,1,0,1,0,3,2
1772,江淮,2.48,11.92,9.01,109,东莞,0,1,0,0,60,1,0,1,0,3,3
1773,斯柯达,1.6,16.49,13.07,169,上海,1,1,1,1,60,1,1,0,0,1,12
1774,宝骏,2.58,5.19,4.54,68,郑州,0,0,0,0,60,1,0,1,0,3,0
1775,别克,1.38,12.91,12.19,167,郑州,0,1,1,1,60,1,0,0,0,3,5
1776,雪佛兰,1.88,6.03,9.1,106,巴中,0,1,0,2,120,1,0,0,0,3,0
1777,五菱汽车,1.75,3.64,2.8,72,信阳,0,0,0,0,120,1,0,1,0,3,0
1778,铃木,1.88,4.36,7.76,98,郑州,0,1,0,0,60,1,0,1,0,3,1
1779,别克,3.0,10.1,5.11,109,南阳,0,1,0,1,60,1,1,0,0,3,0
1780,铃木,0.88,5.2,12.14,132,郑州,0,1,0,2,60,1,0,0,0,1,10
1781,开瑞,3.0,7.49,3.44,62,北京,0,0,1,0,60,1,1,1,0,2,2
1782,斯柯达,2.8,15.33,13.36,122,郑州,0,1,0,0,60,1,0,1,0,3,1
1783,别克,2.4,9.06,11.94,83,菏泽,0,1,0,0,60,1,0,1,0,1,6
1784,北汽幻速,2.1,6.55,8.98,68,阜阳,0,0,0,1,60,1,0,0,0,3,0
1785,大众,2.15,13.64,10.7,159,郑州,0,1,1,2,60,1,1,0,0,1,6
1786,长城,1.36,7.71,12.08,146,东莞,0,1,1,0,60,1,0,1,0,3,4
1787,福特,2.0,14.64,6.98,158,郑州,0,1,1,0,60,1,0,1,0,1,7
1788,雪佛兰,3.0,12.5,6.5,93,郑州,0,0,0,1,60,1,0,0,0,3,0
1789,丰田,2.6,9.89,14.06,140,郑州,0,1,1,1,60,1,0,0,0,3,5
1790,本田,2.88,17.13,17.29,173,东莞,1,1,1,0,60,1,0,1,0,3,0
1791,奇瑞,2.8,12.25,6.46,94,芜湖,0,1,1,2,60,1,1,0,0,3,3
1792,标致,2.8,15.4,12.08,119,许昌,0,1,1,2,60,1,0,0,0,3,4
1793,北汽新能源,3.0,26.79,14.43,61,北京,0,0,1,0,7,1,0,1,0,3,2
1794,金旅,1.2,7.9,12.79,102,郑州,0,1,0,2,60,1,0,0,0,2,5
1795,比亚迪,1.8,4.47,4.45,89,郑州,0,1,1,1,60,1,0,0,0,3,0
1796,日产,2.98,9.99,13.1,126,东莞,0,1,1,0,60,1,0,1,0,3,1
1797,比亚迪,0.88,14.09,12.94,141,安阳,0,1,1,4,60,1,0,0,0,1,15
1798,日产,2.88,12.18,5.1,169,郑州,1,1,1,0,60,1,0,1,0,1,10
1799,比亚迪,2.5,21.88,11.87,93,深圳,0,1,1,1,7,1,0,0,0,3,2
1800,福特,3.0,10.31,3.65,95,深圳,0,0,1,0,3,1,1,1,0,3,5
1801,奇瑞,0.7,5.37,7.73,107,青岛,0,1,0,0,7,0,1,1,0,1,14
1802,日产,1.8,12.18,6.32,155,合肥,0,1,0,0,7,1,1,1,0,1,6
1803,金杯,1.8,5.61,3.22,64,南阳,0,0,0,0,7,1,1,1,0,3,0
1804,长城,1.6,8.32,18.28,97,重庆,0,0,0,0,3,0,0,1,0,3,3
1805,名爵,1.98,13.76,8.67,118,成都,0,1,0,1,7,1,1,0,0,1,7
1806,别克,1.8,10.94,17.03,110,无锡,0,1,1,0,7,1,1,1,0,1,9
1807,五菱汽车,3.0,4.78,1.49,36,重庆,0,0,0,0,7,1,1,1,0,3,0
1808,北京汽车,2.5,6.65,6.46,67,承德,0,0,0,0,7,1,0,1,0,3,0
1809,大众,2.1,14.16,9.66,132,黔西南,0,1,0,1,7,1,0,0,0,3,4
1810,铃木,2.28,7.9,6.92,105,合肥,0,1,0,1,7,1,1,0,0,3,3
1811,大众,2.35,26.03,19.83,164,北京,1,1,1,1,7,1,0,0,0,1,10
1812,荣威,1.2,10.71,9.06,138,潍坊,0,1,0,0,7,1,1,1,0,3,0
1813,本田,2.28,9.36,12.63,106,合肥,0,1,0,2,7,1,1,0,0,1,7
1814,五菱汽车,0.8,7.59,14.13,144,广州,0,1,0,0,7,1,0,1,0,3,3
1815,标致,2.0,11.03,9.51,126,天津,0,1,1,1,7,1,1,0,0,3,5
1816,长城,1.8,7.08,10.31,112,沈阳,0,1,0,1,3,1,0,0,0,3,3
1817,日产,2.4,8.95,19.8,140,松原,0,1,0,3,3,0,1,0,0,1,6
1818,奇瑞,2.88,8.12,6.7,89,临沂,0,0,0,0,7,1,0,1,0,3,0
1819,日产,2.38,8.63,9.29,110,西安,0,1,0,2,7,1,1,0,0,3,3
1820,长安凯程,0.6,5.2,20.39,133,昆明,0,1,0,0,7,0,0,1,0,3,5
