,汽车品牌,二手车价格,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
58,众泰,0.5,6.46,4.37,110,佛山,0,1,0,1,7,1,0,0,0,2,4
59,别克,1.3,11.25,9.03,143,重庆,0,1,0,1,30,1,0,0,0,1,6
60,丰田,3.0,16.26,19.76,178,成都,1,1,0,0,60,0,0,1,0,1,11
61,大众,1.0,10.18,16.3,166,重庆,1,1,0,2,30,0,1,0,0,1,13
62,马自达,2.0,10.09,6.64,143,重庆,0,1,1,0,15,0,0,1,0,1,11
63,宝骏,2.2,7.38,4.19,73,青岛,0,0,0,0,7,0,0,1,0,2,3
64,大众,2.98,10.25,9.25,106,成都,0,0,0,0,7,1,1,1,0,1,7
65,雪佛兰,2.38,9.37,8.31,147,成都,0,1,1,1,7,1,0,0,0,3,3
66,雪佛兰,2.6,13.34,8.46,106,嘉兴,0,1,1,2,7,1,1,0,0,3,3
67,东风风行,2.3,8.89,10.66,84,宁波,0,0,0,0,7,0,0,1,0,3,0
68,东风小康,3.0,5.61,3.46,19,洛阳,0,0,0,0,7,1,1,1,0,3,1
69,五菱汽车,1.5,4.98,10.48,104,十堰,0,1,0,0,15,1,0,1,0,1,10
70,金杯,3.0,4.05,1.05,12,重庆,0,0,0,0,30,1,0,1,1,3,0
71,众泰,2.5,8.63,10.71,71,中山,0,1,0,0,30,0,0,1,0,1,6
72,荣威,2.7,8.21,14.06,73,宁波,0,0,0,1,7,1,0,0,0,3,0
73,长安跨越,2.4,3.9,6.68,48,成都,0,0,0,1,7,1,1,0,0,3,0
74,丰田,2.5,11.25,6.86,155,沈阳,0,1,1,1,7,0,0,0,0,3,3
75,标致,2.5,9.68,11.33,138,重庆,0,1,0,0,60,0,1,1,0,1,13
76,斯柯达,2.0,9.79,11.4,143,西宁,0,1,1,1,30,0,0,0,0,1,10
77,奇瑞,2.5,7.71,5.62,87,南京,0,1,0,0,7,0,0,1,0,3,0
78,雪佛兰,3.0,17.57,11.4,151,重庆,0,1,1,1,60,0,0,0,0,1,12
79,长安,1.25,5.1,12.5,101,重庆,0,1,0,1,15,0,0,0,0,1,9
80,长安凯程,1.2,5.41,6.59,110,重庆,0,1,0,2,60,0,0,0,0,1,6
81,比亚迪,1.2,6.87,13.19,114,重庆,0,1,0,1,30,1,0,0,0,3,4
82,长城,1.66,7.08,14.74,103,玉溪,0,1,0,0,7,1,0,1,0,3,0
83,雪佛兰,2.2,28.85,16.38,162,重庆,0,1,1,3,15,1,0,0,0,1,9
84,雪佛兰,2.2,7.9,8.38,112,青岛,0,1,1,3,7,0,0,0,0,1,9
85,雪铁龙,1.3,11.34,9.78,151,济南,0,1,0,0,7,1,0,1,0,3,3
86,起亚,0.95,9.36,11.06,140,成都,0,1,0,1,7,1,1,0,0,1,8
87,雪铁龙,2.98,20.61,18.82,125,苏州,0,1,1,0,7,1,1,1,0,1,7
88,东风风神,2.8,13.86,8.1,90,成都,0,0,0,0,7,1,1,1,0,3,1
89,雪铁龙,1.9,11.14,15.69,117,重庆,0,1,0,0,30,0,1,1,0,1,9
90,众泰,2.8,9.27,9.39,78,重庆,0,1,0,0,60,0,0,1,0,2,5
91,奇瑞,0.8,4.16,2.77,109,潍坊,0,1,0,3,7,1,0,0,0,1,7
92,吉利汽车,2.0,11.5,7.05,118,重庆,0,1,0,0,15,0,0,1,0,1,7
93,东风小康,0.7,3.64,7.19,120,重庆,0,1,0,1,15,0,1,0,0,1,11
94,东风风行,2.98,8.33,6.2,75,张家口,0,1,0,0,7,1,0,1,0,3,2
95,丰田,2.8,13.33,18.58,150,重庆,0,1,0,0,60,0,1,1,0,1,10
96,别克,2.5,12.29,10.31,125,重庆,0,1,1,2,30,0,1,0,0,1,11
97,北京汽车,3.0,6.65,6.28,62,重庆,0,0,0,0,120,0,0,1,0,1,12
98,比亚迪,1.7,7.6,15.33,98,重庆,0,1,0,1,60,0,0,0,0,1,13
99,东风风行,2.8,8.85,7.11,67,重庆,0,0,0,1,60,0,0,0,0,1,7
100,知豆,1.6,15.83,2.96,60,郑州,0,0,1,1,7,1,0,0,0,3,0
101,别克,2.1,14.36,11.74,109,武汉,0,1,0,0,7,1,0,1,0,1,7
102,中华,0.68,9.78,21.56,128,德阳,0,1,0,1,7,1,0,0,0,1,11
103,起亚,2.98,18.87,9.29,138,成都,0,1,0,0,7,1,1,1,0,3,2
104,雪佛兰,2.0,5.92,5.82,81,淮北,0,1,0,0,7,1,0,1,0,3,1
105,荣威,1.8,16.37,11.26,158,郑州,0,1,1,0,7,1,0,1,0,1,8
106,福田,0.8,9.42,11.64,107,杭州,0,1,0,0,7,1,0,1,0,3,1
107,大众,1.88,13.76,14.61,145,东莞,0,1,0,0,30,1,0,1,0,3,1
108,长城,1.7,7.46,9.37,88,天津,0,0,0,1,7,1,0,0,0,3,2
109,福特,1.0,9.48,10.77,145,宁波,0,1,0,0,7,0,0,1,0,3,0
110,日产,2.6,11.55,18.65,97,深圳,0,1,0,0,7,1,0,1,0,3,0
111,大众,2.68,9.21,4.17,84,珠海,0,0,0,0,30,1,0,1,0,3,1
112,雪佛兰,1.88,11.36,12.04,113,东莞,0,1,0,0,30,1,0,1,0,3,3
113,丰田,2.88,9.16,9.21,102,东莞,0,1,0,0,30,1,0,1,0,3,4
114,别克,2.8,10.63,6.47,95,沈阳,0,1,1,1,7,0,0,0,0,2,5
115,雷诺,2.98,24.51,13.83,138,东莞,0,1,1,0,30,1,0,1,0,3,3
116,北汽新能源,2.5,9.16,2.77,72,北京,0,0,1,0,30,1,1,1,0,3,3
117,五菱汽车,2.88,4.78,9.31,54,东莞,0,0,0,0,30,1,0,1,0,3,2
118,现代,2.18,19.41,10.17,142,青岛,0,1,1,1,30,1,1,0,0,1,15
119,雪佛兰,1.5,11.36,14.17,118,北京,0,1,0,1,7,1,0,0,0,1,8
120,本田,1.5,9.36,17.77,163,哈尔滨,0,1,0,1,7,0,0,0,0,1,8
121,长安凯程,2.99,5.2,3.42,32,北京,0,0,0,0,30,1,0,1,0,3,0
122,日产,2.8,11.76,9.83,144,临沂,0,1,1,2,30,1,1,0,0,1,6
123,日产,2.98,8.32,12.31,93,兴安,0,1,0,0,30,1,0,1,0,3,0
124,哈弗,2.98,7.71,5.83,68,惠州,0,0,1,0,30,1,0,1,0,3,0
125,福特,1.6,10.83,14.19,92,无锡,0,1,0,0,7,1,0,1,0,3,4
126,名爵,2.2,9.35,6.48,102,宁波,0,1,1,2,30,1,0,0,0,3,3
127,标致,1.68,7.8,9.23,107,东莞,0,1,0,0,30,1,0,1,0,3,0
128,福特,1.78,14.64,12.58,161,北京,0,1,1,1,30,1,0,0,0,3,5
129,铃木,1.38,4.79,6.56,104,商丘,0,1,0,0,7,1,0,1,0,3,0
130,雪佛兰,2.58,13.34,13.31,130,东莞,0,1,1,0,30,1,0,1,0,3,4
