,二手车价格,品牌,新车购入价格,行驶里程,使用时间,车牌所在地,外迁标准1,外迁标准2,变速箱,过户次数,上架时间,超值,急售,0过户,准新车,综合车况,外观检测
11764,7.48,1,10.82,4.69,41,0,0,0,1,0,15,1,0,1,0,3,0
11765,7.5,0,16.28,6.0,52,1,0,0,1,0,3,1,0,1,0,3,1
11766,7.98,1,16.57,8.33,73,1,0,0,1,0,30,1,0,1,0,3,3
11767,7.5,1,16.57,6.53,66,1,0,1,1,2,15,1,0,0,0,3,1
11768,7.0,1,14.37,7.11,50,1,0,0,1,0,7,0,1,1,0,1,7
11769,8.0,0,14.16,0.32,48,1,0,0,1,0,7,0,0,1,1,3,0
11770,8.0,1,14.49,14.78,32,2,0,0,1,1,3,1,0,0,0,3,1
11771,7.2,1,13.96,7.05,50,0,0,0,1,0,15,1,0,1,0,3,0
11772,7.98,1,15.21,3.64,48,1,0,0,1,0,15,1,0,1,0,2,3
11773,7.8,0,15.52,1.73,22,0,0,0,1,0,15,1,1,1,0,3,0
11774,7.5,1,20.49,8.84,82,1,0,0,1,1,15,1,1,0,0,3,0
11775,7.6,0,32.33,23.11,98,0,0,1,1,1,15,1,0,0,0,1,6
11776,8.0,1,29.07,13.29,107,1,0,0,1,0,30,1,1,1,0,3,4
11777,7.6,1,22.99,12.31,84,1,0,0,1,0,15,1,0,1,0,3,0
11778,7.0,1,11.32,4.2,30,0,0,0,1,0,3,1,0,1,0,3,0
11779,8.0,1,13.01,11.52,77,1,0,0,1,0,60,0,0,1,0,1,6
11780,7.5,1,21.04,9.45,105,1,0,1,1,0,15,1,0,1,0,3,0
11781,7.5,1,48.3,9.62,117,1,0,1,1,0,7,1,0,1,0,3,0
11782,7.68,1,12.39,5.47,39,0,0,0,1,0,3,1,1,1,0,3,0
11783,7.98,1,11.45,2.51,22,0,0,0,1,0,1,1,0,1,0,1,8
11784,7.6,0,12.1,4.82,40,1,0,0,1,0,1,1,1,1,0,3,0
11785,7.0,1,17.35,8.31,99,1,0,1,1,0,1,1,0,1,0,3,3
11786,7.5,0,11.45,2.07,20,0,0,0,1,0,1,1,0,1,0,3,2
11787,7.98,0,24.94,8.55,74,2,0,0,1,0,1,1,0,1,0,3,4
11788,7.08,1,15.07,4.7,43,0,0,0,1,0,1,1,0,1,0,3,4
11789,7.68,1,15.73,4.53,43,2,0,0,1,1,1,1,1,0,0,3,1
11790,7.88,1,15.11,10.72,74,1,0,0,1,2,1,1,0,0,0,3,1
11791,7.28,1,13.13,1.84,15,1,0,0,1,0,1,1,1,1,0,3,1
11792,7.5,1,12.28,5.77,59,0,0,0,1,0,1,1,0,1,0,3,0
11793,7.58,1,10.42,9.91,41,2,0,0,1,3,1,0,0,0,0,3,2
11794,7.1,0,14.58,3.89,35,0,0,0,1,0,3,1,0,1,0,3,2
11795,7.0,1,14.58,8.05,57,0,0,0,1,1,1,1,0,0,0,1,7
11796,7.7,1,17.24,4.14,40,1,0,0,1,0,3,1,0,1,0,2,3
11797,7.88,1,14.48,4.9,68,0,0,0,1,0,1,1,0,1,0,3,0
11798,7.88,1,27.09,11.47,98,0,0,1,1,0,1,1,0,1,0,1,19
11799,7.0,1,13.33,3.3,77,1,0,0,1,0,1,1,0,1,0,3,3
11800,7.98,1,22.69,11.67,82,2,0,0,1,3,1,1,0,0,0,3,4
11801,7.3,1,22.99,13.92,78,0,0,0,1,1,7,1,0,0,0,3,3
11802,7.1,0,10.0,2.38,18,1,0,0,1,0,7,1,0,1,0,3,0
11803,7.3,1,14.59,5.8,55,1,0,0,1,0,1,1,1,1,0,3,0
11804,7.5,1,16.26,6.66,75,0,0,1,1,0,1,1,0,1,0,3,4
11805,7.5,1,15.32,7.82,65,1,0,0,1,1,3,1,0,0,0,3,0
11806,7.2,1,15.11,6.2,56,2,0,0,1,0,3,1,0,1,0,2,3
11807,7.28,1,19.53,9.67,74,1,0,0,1,1,1,1,0,0,0,3,3
11808,7.48,1,31.47,13.71,102,1,0,1,1,2,1,1,0,0,0,3,3
11809,7.29,1,8.95,2.79,36,2,0,0,1,0,1,1,1,1,0,3,2
11810,7.28,1,21.7,9.37,66,1,0,0,1,1,1,1,0,0,0,3,0
11811,7.98,1,40.71,8.37,133,2,0,1,1,0,1,1,0,1,0,3,4
11812,7.88,1,8.95,2.14,33,0,0,0,1,0,1,1,0,1,0,3,4
11813,7.5,1,15.19,3.77,40,0,0,0,1,0,3,0,0,1,0,1,6
11814,7.98,0,17.26,6.48,58,2,0,0,1,0,1,1,1,1,0,3,2
11815,7.98,1,15.21,9.06,50,2,0,0,1,0,1,1,0,1,0,3,1
11816,8.0,1,14.26,2.76,59,1,0,0,1,0,3,1,0,1,0,3,2
11817,7.5,1,35.81,13.05,147,2,0,1,1,3,1,1,0,0,0,3,0
11818,7.88,1,12.49,2.81,23,2,0,0,1,0,1,0,0,1,0,3,2
11819,7.68,1,45.59,12.49,169,2,1,1,1,0,1,1,0,1,0,3,0
11820,7.68,1,14.06,2.3,48,0,0,0,1,0,1,1,0,1,0,3,1
11821,7.38,1,19.74,13.62,83,0,0,1,1,1,1,1,1,0,0,3,5
11822,8.0,0,14.16,1.54,60,0,0,0,1,1,3,0,0,0,1,3,0
11823,7.6,1,12.49,2.04,18,1,0,0,1,0,1,1,0,1,0,3,0
11824,7.8,1,19.8,8.03,60,1,0,0,1,0,1,1,0,1,0,3,0
11825,7.73,1,19.3,4.19,56,1,0,0,1,1,1,1,1,0,0,2,1
11826,7.38,0,23.86,11.56,71,1,0,0,1,0,1,0,0,1,0,3,0
11827,8.0,0,13.12,2.28,96,0,0,0,1,0,3,1,0,1,0,3,0
11828,7.5,1,12.82,1.43,57,1,0,0,1,0,3,0,0,1,0,1,6
11829,7.18,1,40.71,12.92,135,1,0,1,1,2,3,1,0,0,0,3,2
11830,7.3,0,17.26,11.55,69,2,0,0,1,0,3,1,1,1,0,3,1
11831,8.0,1,22.29,10.28,66,2,0,0,1,0,3,1,1,1,0,3,0
11832,7.98,1,18.76,6.77,45,1,0,0,1,0,3,1,1,1,0,2,3
11833,7.0,0,20.73,13.85,87,1,0,1,1,2,3,1,0,0,0,1,6
11834,7.6,1,14.63,13.18,55,1,0,0,1,0,3,1,0,1,0,3,0
11835,7.7,1,12.49,1.67,30,0,0,0,1,0,3,0,0,1,0,2,5
11836,7.99,1,23.75,12.37,86,2,0,0,1,0,1,1,0,1,0,3,4
11837,7.6,1,24.94,12.5,124,0,0,1,1,1,3,1,0,0,0,1,10
11838,8.0,1,20.17,9.3,86,0,0,1,1,0,3,1,1,1,0,1,7
11839,7.5,1,16.04,3.44,33,1,0,0,1,0,3,1,0,1,0,1,10
11840,7.8,0,15.82,3.74,46,1,0,0,1,1,3,1,1,0,0,3,0
11841,7.0,1,14.58,5.48,59,1,0,1,1,1,3,1,0,0,0,3,5
11842,7.0,1,14.06,9.39,90,2,0,1,1,0,3,1,1,1,0,3,1
11843,8.0,1,17.02,9.62,55,1,0,0,1,0,3,1,1,1,0,3,0
11844,7.35,1,16.15,6.98,88,1,0,0,1,0,3,1,0,1,0,3,0
11845,7.68,0,14.96,2.24,30,1,0,0,1,0,3,1,0,1,0,3,0
11846,8.0,1,22.99,8.89,87,0,0,0,1,1,3,1,0,0,0,2,5
11847,7.5,1,12.28,10.98,43,1,0,0,1,0,3,0,0,1,0,2,2
11848,8.0,1,24.6,8.8,58,1,0,0,1,1,3,1,0,0,0,3,0
11849,7.0,1,26.36,12.36,89,2,0,1,1,0,3,1,0,1,0,1,11
11850,7.5,1,22.83,12.23,92,2,0,0,1,0,3,1,0,1,0,1,10
11851,7.5,1,22.01,12.04,80,2,0,0,1,0,3,1,0,1,0,3,5
11852,7.38,0,12.8,2.45,41,0,0,0,1,0,3,1,0,1,0,3,0
11853,7.3,1,16.91,2.91,55,2,0,0,1,1,3,1,1,0,0,2,1
11854,8.0,1,18.76,9.76,57,1,0,0,1,0,3,0,0,1,0,3,0
11855,8.0,0,86.84,21.64,153,2,0,1,1,0,3,1,0,1,0,1,10
11856,7.8,1,25.6,11.56,117,0,0,1,1,1,3,1,1,0,0,3,0
11857,7.5,1,21.59,13.79,88,2,0,0,1,1,3,1,0,0,0,1,8
11858,7.0,0,14.99,5.19,53,1,0,0,1,0,3,0,0,1,0,3,1
11859,8.0,1,16.15,8.32,60,2,0,0,1,2,3,1,0,0,0,3,1
11860,7.8,1,27.78,9.64,94,2,0,1,1,1,3,1,0,0,0,3,2
11861,7.08,1,10.63,2.54,43,1,0,0,1,0,3,1,0,1,0,3,1
11862,7.0,1,30.94,13.28,113,2,0,1,1,1,3,1,0,0,0,1,10
11863,7.58,1,19.79,10.8,78,1,0,0,1,0,3,1,1,1,0,3,0
11864,7.3,1,19.84,8.14,45,0,0,0,1,0,1,1,1,1,0,3,0
11865,7.7,1,16.15,6.37,70,1,0,0,1,0,3,1,1,1,0,3,4
11866,7.58,1,11.32,6.96,22,1,0,0,1,0,3,1,1,1,0,3,2
11867,7.2,1,11.46,3.55,36,0,0,0,1,0,3,1,1,1,0,3,0
11868,8.0,0,31.68,18.55,101,1,0,1,1,0,3,1,1,1,0,1,7
11869,7.28,0,30.38,8.04,97,1,0,0,1,0,3,1,0,1,0,3,5
11870,7.58,1,20.17,16.37,92,0,0,1,1,0,3,1,1,1,0,3,2
11871,7.68,1,17.71,6.85,58,0,0,0,1,0,3,1,0,1,0,1,7
11872,7.0,1,29.5,12.09,118,0,0,1,1,1,3,1,0,0,0,1,6
11873,7.3,0,17.78,21.87,50,0,0,0,0,0,3,1,0,1,0,3,0
11874,8.0,1,13.13,2.05,47,0,0,0,1,0,3,1,0,1,0,2,3
11875,7.98,1,13.01,1.98,41,2,0,0,1,0,1,1,1,1,0,1,7
