,y_test,xgb_y_pred,y_test,,,,,,,,,,,
116,20.3,20.82346725,20.3,,,,,,,,,,,
117,3.98,4.467443943,3.98,,,,,,,,,,,
118,1.88,2.069811583,1.88,,,,,,,,,,,
119,15,15.12963104,15,,,,,,,,,,,
120,3.5,3.625965357,3.5,,,,,,,,,,,
121,34,33.94178009,34,,,,,,,,,,,
122,23,17.62338829,23,,,,,,,,,,,
123,22.5,22.56951904,22.5,,,,,,,,,,,
124,5,4.922883987,5,,,,,,,,,,,
125,1.5,2.267707348,1.5,,,,,,,,,,,
126,7.88,7.460891724,7.88,,,,,,,,,,,
127,24,23.68134689,24,,,,,,,,,,,
128,13.5,12.29947281,13.5,,,,,,,,,,,
129,19.5,21.78653717,19.5,,,,,,,,,,,
130,21.5,19.5108757,21.5,,,,,,,,,,,
131,25.38,22.16923714,25.38,,,,,,,,,,,
132,10.5,4.799177647,10.5,,,,,,,,,,,
133,20.5,16.67535019,20.5,,,,,,,,,,,
134,8.5,8.29590416,8.5,,,,,,,,,,,
135,22,21.7351284,22,,,,,,,,,,,
136,9,9.001503944,9,,,,,,,,,,,
137,8.28,11.31249142,8.28,,,,,,,,,,,
138,10.2,19.01511955,10.2,,,,,,,,,,,
139,37,32.73078918,37,,,,,,,,,,,
140,15,11.60707664,15,,,,,,,,,,,
141,34,33.91731262,34,,,,,,,,,,,
142,22.8,21.96445847,22.8,,,,,,,,,,,
143,4.68,5.171383858,4.68,,,,,,,,,,,
144,19.8,19.24813843,19.8,,,,,,,,,,,
145,13.5,13.37754536,13.5,,,,,,,,,,,
146,17.99,18.52005577,17.99,,,,,,,,,,,
147,21,21.04070473,21,,,,,,,,,,,
148,26,25.94025612,26,,,,,,,,,,,
149,3.78,5.210441113,3.78,,,,,,,,,,,
150,22,22.06122971,22,,,,,,,,,,,
151,6.38,6.548128128,6.38,,,,,,,,,,,
152,15.38,14.518857,15.38,,,,,,,,,,,
153,17.5,17.52401924,17.5,,,,,,,,,,,
154,12,13.37695599,12,,,,,,,,,,,
155,7.2,7.490161419,7.2,,,,,,,,,,,
156,3.2,3.636867762,3.2,,,,,,,,,,,
157,12,10.81645679,12,,,,,,,,,,,
